Area,Location,Price,Room,Bathroom,House Type,Square Feet
Kuala-Lumpur,     Wangsa Maju    ,    RM 380 000     , 2 Bedrooms , 1 Bathroom , Apartments ,722 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 515 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1088 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 208 000     , 5 Bedrooms , 3 Bathrooms , Apartments ,1538 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 580 000     , 4 Bedrooms , 4 Bathrooms , Houses ,2000 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 580 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1032 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 500 000     , 1 Bedroom , 2 Bathrooms , Apartments ,1270 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 245 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Kuchai Lama    ,    RM 169 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,720 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 560 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 460 000     , 3 Bedrooms , 2 Bathrooms , Houses ,1400 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 2 088 888     , 5 Bedrooms , 5 Bathrooms , Apartments ,5000 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 320 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,780 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 580 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1200 sq.ft
Kuala-Lumpur,     Gombak    ,    RM 999 880     , 4 Bedrooms , 3 Bathrooms , Houses ,3000 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 850 000     , 5 Bedrooms , 4 Bathrooms , Houses ,2400 sq.ft
Kuala-Lumpur,     OUG    ,    RM 3 999 000     , 8 Bedrooms , 8 Bathrooms , Houses ,7000 sq.ft
Kuala-Lumpur,     Desa ParkCity    ,    RM 3 300 000     , 4 Bedrooms , 3 Bathrooms , Houses ,2379 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 590 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1065 sq.ft
Kuala-Lumpur,     Taman Tun Dr Ismail    ,    RM 1 800 000     , 4 Bedrooms , 3 Bathrooms , Houses ,2200 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 460 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,743 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 300 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,748 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 950 000     , 7 Bedrooms , 5 Bathrooms , Houses ,2400 sq.ft
Kuala-Lumpur,     Bandar Tasik Selatan    ,    RM 199 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 330 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1075 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 519 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1001 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 519 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1001 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 350 000     , 2 Bedrooms , 1 Bathroom , Houses ,1000 sq.ft
Kuala-Lumpur,     Sungai Besi    ,    RM 629 000     , 4 Bedrooms , 4 Bathrooms , Apartments ,1449 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 525 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1329 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 230 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1000 sq.ft
Kuala-Lumpur,     Mont Kiara    ,    RM 828 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1548 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 390 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,918 sq.ft
Kuala-Lumpur,     KLCC    ,    RM 1 500 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,1227 sq.ft
Kuala-Lumpur,     Mont Kiara    ,    RM 855 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1573 sq.ft
Kuala-Lumpur,     Taman Melawati    ,    RM 1 380 000     , 5 Bedrooms , 3 Bathrooms , Houses ,2884 sq.ft
Kuala-Lumpur,     Bukit Bintang    ,    RM 720 000     , 3 Bedrooms , 3 Bathrooms , Apartments ,1371 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 185 000     , 2 Bedrooms , 1 Bathroom , Apartments ,600 sq.ft
Kuala-Lumpur,     Desa Petaling    ,    RM 260 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,826 sq.ft
Kuala-Lumpur,     KL City    ,    RM 1 100 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,1411 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 530 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,813 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 430 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1080 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 265 000     , 2 Bedrooms , 1 Bathroom , Apartments ,600 sq.ft
Kuala-Lumpur,     Pandan Perdana    ,    RM 648 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1450 sq.ft
Kuala-Lumpur,     KL City    ,    RM 810 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,951 sq.ft
Kuala-Lumpur,     Jalan Sultan Ismail    ,    RM 700 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,890 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 660 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1269 sq.ft
Kuala-Lumpur,     Jalan Sultan Ismail    ,    RM 1 250 000     , 1 Bedroom , 1 Bathroom , Apartments ,732 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 345 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,918 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 445 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1120 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 620 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1200 sq.ft
Kuala-Lumpur,     Jalan Ampang    ,    RM 750 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1400 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 430 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1280 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 455 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Bandar Tasik Selatan    ,    RM 220 000     , 3 Bedrooms , 1 Bathroom , Apartments ,650 sq.ft
Kuala-Lumpur,     KLCC    ,    RM 380 000     , 1 Bedroom , 1 Bathroom , Apartments ,460 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 420 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 275 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,915 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 855 000     , 4 Bedrooms , 4 Bathrooms , Apartments ,1507 sq.ft
